,ETF名称,ETF代码,标签,平均成交额,指数名称,指数代码,估值,估值百分位,估值类型
0,红利价值ETF易方达,563700,策略，红利，价值,1162.37,红利价值,980103,7.9589,0.5755395683453237,PE
1,红利低波ETF华泰柏瑞,512890,策略，红利,79057.51,红利低波,h30269.CSI,8.49,0.7863164721141375,PE
2,中证红利ETF招商,515080,策略，红利,41656.37,中证红利,000922.CSI,8.66,0.5912984670874661,PE
3,红利国企ETF国泰,510720,策略，红利,14102.07,上国红利,000151,8.79,,PE
4,高股息ETF广发,159207,策略，红利,11987.17,智选高股息,932305,8.8,0.7081545064377682,PE
5,价值ETF易方达,159263,策略，价值,25955.92,价值100,980081,8.8714,0.2546583850931677,PE
6,红利ETF华泰柏瑞,510880,策略，红利,63124.39,红利指数,000015,8.9,0.9966159052453468,PE
7,300红利低波ETF嘉实,515300,策略，红利，低波动,10793.39,300红利LV,930740.CSI,9.03,0.871931696905016,PE
8,红利低波100ETF景顺,515100,策略，低波动，红利,12475.48,红利低波100,930955.CSI,9.04,0.8432769367764915,PE
9,央企红利ETF华泰柏瑞,561580,策略，红利，央企,8388.01,央企红利,000825,9.33,0.9392523364485982,PE
10,A500红利ETF国联安,560570,策略，红利，低波动,2007.59,A500红利低波,932422,9.74,,PE
11,价值ETF富国,512040,策略，价值,23570.19,国信价值,931052,10.91,0.9090042877560743,PE
12,自由现金流ETF华夏,159201,策略，现金流,24226.17,自由现金流,980092,14.0534,0.2988929889298893,PE
13,自由现金流ETF南方,159232,策略，现金流,18052.21,中证现金流,932365,14.72,,PE
14,300现金流ETF华宝,562080,策略，现金流,3024.4,300现金流,932366,15.34,,PE
15,红利质量ETF华夏,159758,策略，红利，价值,4583.67,红利质量,931468.CSI,16.72,0.30900723208415515,PE
16,沪深300成长ETF银华,562310,策略，成长,2052.21,300成长,000918.CSI,17.19,0.6552334587298074,PE
17,中证500现金流ETF华夏,560120,策略，现金流,2008.75,500现金流,932367,17.7,,PE
18,沪深300成长ETF华夏,159523,策略，成长,1001.8,300成长创新,931589,17.96,,PE
19,红利质量ETF招商,159209,策略，红利，价值,9333.63,中证红利质量,932315,18.46,,PE
20,红利ETF工银,159905,策略，红利,3492.63,深证红利,399324.SZ,18.68,0.7564413124862365,PE
21,中证500成长ETF易方达,159606,策略，价值，成长,2397.43,500质量,930939.CSI,19.28,0.7885228480340064,PE
22,深证50ETF富国,159350,策略，价值,6506.5,深证50,399850,25.7127,0.8618677042801557,PE
23,深成长ETF大成,159906,策略，成长,2922.85,成长40,399326,32.6509,0.02727272727272727,PE
24,创业板成长ETF华夏,159967,策略，动量，成长,90094.74,创成长,399296.SZ,37.33,0.3562920766442258,PE
25,成长ETF易方达,159259,策略，成长,50642.34,成长100,980080,78.4563,0.8757763975155279,PE
26,科创成长ETF易方达,588020,策略，成长，科创板,36806.97,科创成长,000690,115.04,,PE
